iter	RMSE
0	13.43921543
1	11.79093898
2	10.33848761
3	9.122963531
4	8.159550087
5	7.327507633
6	6.578983382
7	5.964994907
8	5.466457508
9	5.055242516
10	4.730694902
11	4.460783917
12	4.264061644
13	4.095343358
14	3.95838817
15	3.853983317
16	3.768887044
17	3.709354412
18	3.65181844
19	3.607545386
20	3.570743564
21	3.547226623
22	3.529416008
23	3.508726033
24	3.49353378
25	3.481126063
26	3.470487523
27	3.46094053
28	3.453463906
29	3.445798273
30	3.440590371
31	3.435002411
32	3.43009438
33	3.425987143
34	3.422903998
35	3.419876251
36	3.416632683
37	3.411179089
38	3.409516012
39	3.407065977
40	3.403842938
41	3.401927579
42	3.400213969
43	3.398375447
44	3.395999234
45	3.393810056
46	3.391763122
47	3.390383029
48	3.389219627
49	3.38717347
50	3.385414493
51	3.383928158
52	3.380829085
53	3.378572008
54	3.376765735
55	3.375575684
56	3.373808965
57	3.370720853
58	3.367454023
59	3.36502432
