iter	Passed	Remaining
0	8	472
1	15	439
2	34	648
3	42	589
4	51	562
5	56	512
6	64	486
7	70	456
8	75	426
9	79	395
10	84	377
11	88	352
12	92	334
13	97	320
14	101	303
15	105	288
16	109	276
17	113	265
18	117	253
19	121	242
20	125	232
21	128	221
22	131	212
23	134	202
24	138	193
25	141	185
26	146	178
27	149	170
28	151	162
29	155	155
30	158	147
31	161	141
32	164	134
33	167	127
34	170	121
35	173	115
36	179	111
37	187	108
38	193	104
39	198	99
40	203	94
41	206	88
42	209	82
43	211	77
44	214	71
45	217	66
46	220	60
47	223	55
48	226	50
49	230	46
50	233	41
51	237	36
52	240	31
53	243	27
54	247	22
55	250	17
56	253	13
57	256	8
58	258	4
59	261	0
